;Chinese-English
查找|Search
SNC在非加工时, 也确认软、硬件极限及驱动器异常, 并产生SNC错误信息, 0: 关闭, 1: 开启|When the SNC is not being processed, it also confirms that the software and hardware limits and the driver are abnormal, and generates SNC error messages. 0: Off, 1: On
加工时, 忽略NC码中进给率设定, 0:关闭, 1:开启|During processing, the feedrate setting in the NC code is ignored, 0: off, 1: on
缩放使用IJK时的比例, 0: 0.001 (预设), 1: 0.00001|Set the position resolution of the part program instructions. 0: 0.001 mm (Default) 1: 0.00001 mm.
预扫线段过短的处理机制, 0: 警告 (预设), 1: 错误|Set the processing mechanism when the G01 distance command is too short to process in one communication cycle during pre-scanning. 0: warning (Default) 1: error.
运动命令发送之后, 要等待多少时间, 让马达走到目标位置, 默认为0.001秒|How long to wait after the motion command is sent to let the motor go to the target position, the default is 0.001 seconds
工作平面设定, 范围54 ~ 59, 预设为54|Working plane setting, range 54-59, default is 54
开启法线追随功能, 0: 关闭, 1: 使用GCode, 2: 自动追随|Enable the tangential control function. 0: disable the tangential control function. 1: Enable the tangential control function by G code “G41.1 or G42.1”. 2: Enable the auto tangential control function for entire part-program.
自动法线追随第一轴向|First Axial Direction for Auto Tangential Control
自动法线追随第二轴向|Second Axial Direction for Auto Tangential Control
法线追随轴, 1 ~ 9 => X~Z、A~C、U~W|Tangential Control Axis, 1-9 => X-Z, A-C, U-W
法线追随单位作用长度, 默认单位长度: 0.001|Tangential Control Unit Action Length, Default Unit Length: 0.001
法线追随速度|Tangential Control Speed
将Motion指令写入档案之中, 路径C:\motion_record.txt与C:\param.txt|Write Motion command to the file, the path C: \ motion_record.txt and C: \ param.txt
Dump Log 档案记录格式|Dump Log File Record Format
记录轴向信息, 路径C:\dda_cmd_record.txt|Record axial direction information, path C: \ dda_cmd_record.txt
是否开启速度限制功能, 0: 关闭, 1: 开启, 2: 开启并使用G00速度限制|Whether to enable the speed limit function, 0: disable, 1: enable, 2: enable and use G00 speed limit
X轴G00速度限制, 当速度限制功能=2时有效|X-axis G00 speed limit, effective when speed limit function = 2
Y轴G00速度限制, 当速度限制功能=2时有效|Y-axis G00 speed limit, effective when speed limit function = 2
Z轴G00速度限制, 当速度限制功能=2时有效|Z axis G00 speed limit, effective when speed limit function = 2
A轴G00速度限制, 当速度限制功能=2时有效|A axis G00 speed limit, effective when speed limit function = 2
B轴G00速度限制, 当速度限制功能=2时有效|B axis G00 speed limit, effective when speed limit function = 2
C轴G00速度限制, 当速度限制功能=2时有效|C axis G00 speed limit, effective when speed limit function = 2
U轴G00速度限制, 当速度限制功能=2时有效|U axis G00 speed limit, effective when speed limit function = 2
V轴G00速度限制, 当速度限制功能=2时有效|V axis G00 speed limit, effective when speed limit function = 2
W轴G00速度限制, 当速度限制功能=2时有效|W axis G00 speed limit, effective when speed limit function = 2
X轴G01速度限制, 当速度限制功能=1或2时有效|X-axis G01 speed limit, effective when speed limit function = 1 or 2
Y轴G01速度限制, 当速度限制功能=1或2时有效|Y-axis G01 speed limit, effective when speed limit function = 1 or 2
Z轴G01速度限制, 当速度限制功能=1或2时有效|Z axis G01 speed limit, effective when speed limit function = 1 or 2
A轴G01速度限制, 当速度限制功能=1或2时有效|A axis G01 speed limit, effective when speed limit function = 1 or 2
B轴G01速度限制, 当速度限制功能=1或2时有效|B axis G01 speed limit, effective when speed limit function = 1 or 2
C轴G01速度限制, 当速度限制功能=1或2时有效|C axis G01 speed limit, effective when speed limit function = 1 or 2
U轴G01速度限制, 当速度限制功能=1或2时有效|U axis G01 speed limit, effective when speed limit function = 1 or 2
V轴G01速度限制, 当速度限制功能=1或2时有效|V axis G01 speed limit, effective when speed limit function = 1 or 2
W轴G01速度限制, 当速度限制功能=1或2时有效|W axis G01 speed limit, effective when speed limit function = 1 or 2
G01上限进给速度|G01 Feed Speed Upper Limit
G02、G03上限进给速度|G02, G03 Feed Speed Upper Limit
G01默认进给速度, 无设定则使用'G01上限进给速度'|G01 default feed speed, if not set, use 'G01 upper limit feed speed'
G02、G03默认进给速度, 无设定则使用'G02、G03上限进给速度'|G02, G03 default feed speed, if not set, use 'G02, G03 upper limit feed speed'
加减速控制单位, 0:时间, 1:加速度|Acceleration / deceleration control unit, 0: time, 1: acceleration
在SNC下达SNC_Is_Giveup时有效, Sd_Stop减速参数|Effective when SNC issues SNC_Is_Giveup, Sd_Stop deceleration parameter
设定初始速度|Set Initial Speed
改变进给率比率加减速时间, 范围0.1~10秒|Change the feed rate ratio acceleration / deceleration time, the range is 0.1-10 seconds
X轴不走插补的G00进给率, 默认值6000|G00 feedrate of X-axis without interpolation, default value is 6000
Y轴不走插补的G00进给率, 默认值6000|G00 feedrate of Y-axis without interpolation, default value is 6000
Z轴不走插补的G00进给率, 默认值6000|G00 feedrate of Z axis without interpolation, default value is 6000
A轴不走插补的G00进给率, 默认值6000|G00 feedrate of A axis without interpolation, default value is 6000
B轴不走插补的G00进给率, 默认值6000|G00 feedrate of B axis without interpolation, default value is 6000
C轴不走插补的G00进给率, 默认值6000|G00 feedrate of C axis without interpolation, default value is 6000
U轴不走插补的G00进给率, 默认值6000|G00 feedrate of U axis without interpolation, default value is 6000
V轴不走插补的G00进给率, 默认值6000|G00 feedrate of V axis without interpolation, default value is 6000
W轴不走插补的G00进给率, 默认值6000|G00 feedrate of W axis without interpolation, default value is 6000
X轴不走插补的G00加速参数|G00 Acceleration Parameters without X Sxis Interpolation
Y轴不走插补的G00加速参数|G00 Acceleration Parameters without Y Sxis Interpolation
Z轴不走插补的G00加速参数|G00 Acceleration Parameters without Z Sxis Interpolation
A轴不走插补的G00加速参数|G00 Acceleration Parameters without A Sxis Interpolation
B轴不走插补的G00加速参数|G00 Acceleration Parameters without B Sxis Interpolation
C轴不走插补的G00加速参数|G00 Acceleration Parameters without C Sxis Interpolation
U轴不走插补的G00加速参数|G00 Acceleration Parameters without U Sxis Interpolation
V轴不走插补的G00加速参数|G00 Acceleration Parameters without V Sxis Interpolation
W轴不走插补的G00加速参数|G00 Acceleration Parameters without W Sxis Interpolation
X轴不走插补的G00减速参数|G00 Deceleration Parameters without X-axis Interpolation
Y轴不走插补的G00减速参数|G00 Deceleration Parameters without Y-axis Interpolation
Z轴不走插补的G00减速参数|G00 Deceleration Parameters without Z Axis Interpolation
A轴不走插补的G00减速参数|G00 Deceleration Parameters without A Axis Interpolation
B轴不走插补的G00减速参数|G00 Deceleration Parameters without B Axis Interpolation
C轴不走插补的G00减速参数|G00 Deceleration Parameters without C Axis Interpolation
U轴不走插补的G00减速参数|G00 Deceleration Parameters without U Axis Interpolation
V轴不走插补的G00减速参数|G00 Deceleration Parameters without V Axis Interpolation
W轴不走插补的G00减速参数|G00 Deceleration Parameters without W Axis Interpolation
轴不走插补的G00进给率, 默认值6000|G00 Feedrate for Axis without Interpolation, Default Value 6000
走插补的G00加速参数|G00 Acceleration Parameters with Interpolation
走插补的G00减速参数|G00 Acceleration Parameters with Interpolation
X轴G01加减速|X-Axis G01 Acceleration and Deceleration
Y轴G01加减速|Y-Axis G01 Acceleration and Deceleration
Z轴G01加减速|Z-Axis G01 Acceleration and Deceleration
A轴G01加减速|A-Axis G01 Acceleration and Deceleration
B轴G01加减速|B-Axis G01 Acceleration and Deceleration
C轴G01加减速|C-Axis G01 Acceleration and Deceleration
U轴G01加减速|U-Axis G01 Acceleration and Deceleration
V轴G01加减速|V-Axis G01 Acceleration and Deceleration
W轴G01加减速|W-Axis G01 Acceleration and Deceleration
设定连续切削允许误差|Set Allowable Error of Continuous Cutting
设定圆弧切削允许误差|Set Allowable Error of Arc Cutting
刀径补正角度判定, 遇导角使用圆弧或是直线|Judgment of tool radius correction angle, use arc or straight line for lead angles
圆弧切削参考半径|Reference Radius of Arc Cutting
圆弧切削参考速度|Reference Speed of Arc Cutting
弯角降速参考速度|Reference Speed of Corner Deceleration
前加减 S 型曲线时间常数 |Pre-Accel/Decel S-Curve Time Constant
后加减加速时间常数|Post-Accel/Decel Acceleration Time Constant
后加减 S 型曲线时间常数|Post-Accel/Decel S-Curve Time Constant
使用轴数|Number of Axes Used
卡号|DMCNET motion card number or EtherCAT master number.
X轴站号|X-Axis Station Number
Y轴站号|Y-Axis Station Number
Z轴站号|Z-Axis Station Number
A轴站号|A-Axis Station Number
B轴站号|B-Axis Station Number
C轴站号|C-Axis Station Number
U轴站号|U-Axis Station Number
V轴站号|V-Axis Station Number
W轴站号|W-Axis Station Number
当前主轴刀号|Current Spindle Tool Number
主轴刀, 第一把刀起始刀号|Spindle Tool, Starting Number of the First Tool
主轴刀数|Qantity of Spindle Tools
垂直钻, 第一把刀起始刀号|Vertical Drill, Starting Number of the First Drill
垂直钻刀数|Qantity of Vertical Drills
水平钻, 第一把刀起始刀号|Horizontal Drill, Starting Number of the First Drill
水平钻刀数|Qantity of Horizontal Drills
锯片, 第一把刀起始刀号|Saw Blade, Starting Number of the First Blade
锯片刀数|Qantity of Saw Blades
对刀仪AB接点型态; 0 : B接, 1 : A接|Contact Types of Tool Setting Gauge; 0 : B type, 1 : A type
对刀仪与加工平面的Z轴距离|Z Distance from Work Plane to the Surface of Tool Setting Gauge
对刀初始位置X轴机械坐标|X-Axis Mechanical Coordinate of the Initial Position of Tool Setting Gauge
对刀初始位置Y轴机械坐标|Y-Axis Mechanical Coordinate of the Initial Position of Tool Setting Gauge
对刀初始位置Z轴机械坐标|Z-Axis Mechanical Coordinate of the Initial Position of Tool Setting Gauge
对刀第一段下降速度|Falling Speed of First Section Tool Setting
对刀第二段上升速度|Rising Speed of Second Section Tool Setting
对刀第二段下降速度|Falling Speed of Second Section Tool Setting
对刀次数, 对刀值为加总取平均后的值|Tool Setting Times. The tool-measure value is the average of all measure values
Z轴背隙补偿功能|Z-Axis Backlash Compensation Function
Z轴背隙数值|Z-Axis Backlash Value
Z轴背隙补正方向, 1: 正向不补 (预设), -1: 负向不补|Z Axis Backlash Correction Direction, 1: positive direction does not compensate (default), -1: negative direction does not compensate
Z轴背隙补正速度|Z-Axis Backlash Correction Speed
Z{0}轴背隙补正加减速|Z {0} Shaft Backlash Correction Acceleration / Deceleration
操作员密码|Operator Password
输入|Input
输入密码|Enter Password
密码错误次数达到5次, 程序已锁定, 请联系管理员|Password error occurs for 5 times, the program is locked, please contact the administrator
提示|Tips
确定要进行|Sure to proceed
提示：预热时禁止使用大成型刀，请使用小刀|Note: It is forbidden to use a large forming tool during preheating, please use a small one
确定要关闭软件吗|Are you sure to close the software
保养说明|Maintenance Instruction
更改上料机配置成功, 重新打开程序生效!|Changed the configuration of feeder successfully, please restart the program to enable!
更改语言设置成功, 重新打开程序生效!|Changed the language successfully, please restart the program to enable!
更改机型设置成功, 重新打开程序生效!|Changed the model successfully, please restart the program to enable!
更改单位设置成功, 重新打开程序生效!|Changed the unit successfully, please restart the program to enable!
数据备份成功!文件路径为:|Data backup succeeded! File path is:
输入数值|Enter Value
数据恢复成功,重新打开程序生效!|Data recovery succeeded, please restart the program to enable!
没有检测到有效文件！请检查文件是否被删除或重命名！|No valid files detected! Please check if the file was deleted or renamed!
没有检测到加密狗，请检查加密狗是否已插入|Dongle is not detected, Please check if dongle is inserted.
循环加工任务已完成|Circular processing is completed
列表中所有加工任务已完成|All the processing tasks in the list are completed
当前文件不存在,请检查路径是否正确|Current file is not existing, please check if the path is correct
请选择路径|Please select a path
导出成功|Export succeeded
当前语言包无法创建为新的语言包|The current language pack cannot be created as a new one
是|Yes
否|No
确认|Confirm
参数恢复完毕|Parameter Recovery Completed
正在执行, 请耐心等待|Running, please be patient
无法连接IMP, 开始离线模式启动|IMP can't be connected, start offline mode
系统无法连接IMP|System cannot connect to IMP
系统文件丢失|System files are missing
贴标机无法连接|Labeler cannot be connected
清理多少天之前的历史记录|How many days ago to clear the history of
清理完毕|Cleared
请输入整数|Please enter an integer
编辑|Edit
正常运行|Running
未连接|Not connected
正在加工|Processing
服务器未启动|Server is not started
机器已锁定, 请联系供应商|Machine is locked, please contact supplier
密码错误|PASSWORD ERROR
插入|Insert
解锁成功|Unlocked successfully
数据无法保存|Data cannot be saved
无法读取时间|Unable to read time
输入解锁密码 第{0}期|Enter unlock password Term{0}
输入进入密码|Enter access password
系统离线|System is offline
离线模式|Offline Mode
行数输入不正确, 请重新输入|Row NO is incorrect. Please re-enter
系统报警|SYS Alarm
名称|Name
参数|Parameter
数值|Value
条码|Barcode
创建时间|Create Time
开始时间|Start Time
时|Hour
分|Minute
序号|NO
参考保养项目|Prefer to maintenance item
参考保养周期|Prefer to maintenance cycle
当前设定时间|Current Set Time
最后保养日期|Last Maintenance Date
剩余时间|Remaining Time
更新最后保养时间|Update last maintenance time
更新|Update
项目|Item
是否已保养|Whether maintained or not
正在编辑中|Editing
加工|Process
手动|Manual
监控|Monitor
报警|Alarm
保养|Maintenance
记录|Record
机构参数|Unit Parameters
基本参数2|Basic Parameters 2
用户参数|User Parameters
刀具参数|Tool Parameters
排钻设置|Drilling Settings
工件坐标|Workpiece Coordinate
对刀仪设置|Tool Setting Gauge Setting
系统参数1|System Parameter 1
系统参数2|System Parameter 2
系统参数3|System Parameter 3
报警记录|Alarm Record
开关记录|On/Off Record
操作记录|Operation Record
加工记录|Process Record
保养记录|Maintenance Record
开发人员|Developer
调试人员|Debugging Personnel
管理人员|Management Personnel
生产人员|Production Personnel
全屏切换|Full Screen
登录|Login
服务器连接|Server Connection
日常维护提示|Daily Maintenance Tips
PLC连接|PLC Connection
板选择|Board Selection
参数名称|Param Name
当前参数值|Current Value
设置参数值|Set Value
刀长|Tool Length
刀径|Tool Radius
X轴偏移值|X-axis Offset
Y轴偏移值|Y-axis Offset
Z轴偏移值|Z-axis Offset
局部坐标系统设定|Partial Coordinate System Setting
X轴|X-axis
Y轴|Y-axis
Z轴|Z-axis
文件|File
工位|Section
次数|Times
有贴标|Labeled
贴标状态|Labeling Status
加工状态|Processing Status
刷新|Refresh
清理记录|Clear Record
扫码枪设置|Scanner Setting
串口号|COM Port
波特率|Baud Rate
校验位|Parity Bit
数据位|Data Bit
停止位|Stop Bit
服务器地址|Server Address
机器序号|Machine NO
监听地址|Listening Address
语言|Language
导出路径|Export Path
生成语言包|Generate Language Pack
确定|OK
检测|Test
清空|Clear
返回|Return
机器型号:|Machine Model:
机型设置|Model Setting
锁机|Machine Lock
锁机密码|Lock Password
解锁密码|Unlock Password
再次输入|Re-enter
锁机时间（天）|Lock Time (Day)
日|Day
月|Month
年|Year
时间校准|Time Calibration
进入密码|Enter Password
当前日期|Current Date
每期|Per Term
总|Sum
期|Term
无|No
有|Yes
后靠齐|Rear Alignment
前靠齐|Front Alignment
英威腾|INVT
汇川|Inovance
定位机构|Positioning Unit
左右导向|Left and Right Guide Bars
定位机构+左右导向|Positioning Unit + Guide Bars
输入模块|Input Module
IO接口|IO Interface
无主轴|No Spindle
有主轴|Splinde Existing
无刀库|No Tool Magazine
有刀库|Tool Magazine Existing
有抓料配置|Loader Configured
有推料配置|Pusher Configured
非标上料机|Non-Standard Loader
标准上料机|Standard Loader
标准贴标机|Standard Labeler
非标下料机|Nont-Standard Unloader
标准下料机|Standard Unloader
不开启功能|Disable Function
开启自动启动加工功能|Enable Auto Start Processing Function
一带动二|One Drive Two
一带动四|One Drive Four
不提醒|Don't remind
每天第一次开机|First time to start every day
停机一段时间后|After a period of downtime
10英尺|10 Feet
9英尺|9 Feet
8英尺|8 Feet
7英尺|7 Feet
5-6英尺|5-6 Feet
4英尺|4 Feet
6*12板|Panel 6x12
4*12板|Panel 4x12
4*8板|Panel 4x8
5*10板|Panel 5*10
4*9板|Panel 4*9
规格|Specification
公制|Metric
英制|Imperial
机械手动控制|Manual Control of Machine
软件手动控制|Manual Control of Software
停止|Stop
暂停|Pause
执行中|Running
返回异常|Return Error
准备中|Preparing
贴标中|Labeling
送板中|Feeding
完成贴标|Labeling finished
完成送料|Feeding finished
加工完成|Processing finished
加工中|Processing
就绪|Ready
繁忙|Busy
停止动作|Stop Action
复位动作|Reset Action
检查启动条件|Check Start Conditions
异常|Failure
加载中|Loading
自动|Auto
手轮|MPG
常闭|Normal Close
常开|Normal Open
三色状态指示灯|Three-Color Status Light
按钮状态指示灯|Button Status Light
换刀任务进行中......|Changing Tool......
对刀任务进行中......|Setting Tool......
上料任务进行中......|Loading......
下料任务进行中......|Unloading......
上下料任务进行中......|Loading and Unloading......
预热任务进行中......|Preheating......
X手动速度增加|X Manual Speed Increase
正常|Normal
返工|Rework
维修|Repair
报警序号|Alarm NO
报警内容|Alarm Message
结束时间|End Time
报警时间(秒)|Alarm Time(Sec)
打开时间|Open Time
关闭时间|Close Time
运行时间(分)|Running Time(Min)
操作|Operation
操作时间|Operation Time
操作类型|Operation Type
加工耗时(秒)|Processing Time(Sec)
代码总行|Total Number of Code Rows
文件名称|File Name
文件路径|File Path
(1)检查调压过滤器①和过滤器②排水是否正常(每三天一次)|(1)Check if pressure regulating filter① and filter② drain normally (once every 3 days)
注意,当环境温度低于0℃时,杯内水可能结冰导致不能正常自动排水|Attention, when the environment temperature is lower than 0℃, water in the cup might freeze, which leads to abnomal auto-drainage.
(2)对给油器③添加32#抗磨液压油，当油量低于1/4时请添加至3/4|(2)Add 32# antiwear hydraulic oil to oil feeder③, fill up to 3/4 when oil level is less than 1/4
拧动球阀对储气罐进行排水,排完后关闭球阀(每周一次)|Twist the ball valve to drain water from the gas tank, after that tighten the ball vavle (once every week)
注意,当环境温度低于0℃时,罐内水可能结冰导致不能正常排水|Attention, when the environment temperature is lower than 0℃, water in the cup might freeze, which leads to abnomal drainage.
将配电柜内部和风扇过滤网上的灰尘清理干净(每周一次)|Clean off the dust on the filter screen in electrical cabinet and fan (once every week)
(1)打开上方真空泵滤芯的盖板,取出滤芯①|(1)Open the cover plate on the filter screen of vacuum pump on the top and take out the filter screen①
将滤芯上的灰尘清理干净(每周一次)|Clean of the dust on the filter screen (once every week)
(2)打开侧面真空泵滤芯的盖板,出滤芯②|(2)Open the cover plate on the filter screen of vacuum pump on the side and take out the filter screen②
将滤芯上的灰尘清理干净(每三个月一次)|Clean of the dust on the filter screen (once every 3 months)
(3)若滤芯有损坏，请及时更换|(3)If the filter screen of fan is damaged, please replace it immediately.
(1)每日随时保持刀柄锥面和电主轴夹刀锥面完全清洁|(1)Keep the conical surface of shank and that of tool holder of spindle completely clean everyday
在每个工作日结束时使用一块干净的软布清洁这些部件|Clean these parts with a clean cloth after work everyday
(2)使用一块蘸有乙醇的干净的软布仔细清洁|(2)Clean carefully with a cloth dipped by alcohole
电主轴夹刀锥面和刀柄锥面(每两周一次)|The conical surface of tool holder of spindle and that of shank (once every 2 weeks)
手动黄油泵添加0#机械润滑脂|Fill the grease pump with 0# mechanical grease
摇动摇杆3至5次对Y/Z轴分别进行润滑(每三天一次)|Shake the rocker 3 to 5 times and lubricate Y/Z-axis (once every 3 days)
向排钻油嘴上注入润滑脂(KLUBER ISOFLEX TOPAS L32N)2.5克|Inject 2.5g of grease(KLUBER ISOFLEX TOPAS L32N) into the nozzles of drill head
(机器每工作100小时一次)|(Once every 100 working hours)
向两个排钻滑块的油嘴上分别注入0#机械润滑脂0.1g(每三天一次)|Inject 0.1g 0# mechanical grease into the nozzles of two sliders of drill head (once every 3 days)
向两个刀库滑块的油嘴上分别注入0#机械润滑脂0.1g(每三天一次)|Inject 0.1g 0# mechanical grease into the nozzles of two sliders of tool magazine (once every 3 days)
机器工作3000小时后，检查滑片宽度|After working for 3000 hours, check the width of slip sheet
(1)若滑片宽度小于41mm,则需更换滑片|(1)If the width of slip sheet is less than 41mm, replace the slip sheet
(2)若滑片宽度大于41mm,则需缩短检查时间|(2)if the width of slip sheet is more than 41mm, shorten the checking time
以确保及时更换宽度小于41mm的滑片|Ensure to replace the slip sheet with a width less than 41mm
向真空泵的两处油嘴上分别注入高温润滑油脂10克(KLUBER)|Inject 10g high temperature grease(KLUBER) into the two nozzles of vacuum pump
部分项目已到保养日期，请前往保养页面进行保养|The maintenance date of some items is come, please go to maintenance page
真空泵过载检测|Overload Detection of Vacuum Pump
气源处理器的空气过滤器排水，雾化器加注32#抗磨压油|Drain the air filter of air source, fill 32# antiwear hydraulic oil into mistorizer
天|Day
储气罐排水|Gas Tank Draining
配电柜与风扇滤网清理|Cleaning of the Filter Screens of Electrical Cabinet and Fan
真空泵滤芯清理|Cleaning of the Filter Screen of Vacuum Pump
主轴防锈,刀柄清洁|Spindle Rust Proof, Clean Shank
手动黄油泵加注|Oil Injection for Manual Grease Pump
钻包高温润滑脂加注|High Temperature Grease Injection for Drill Head
小时|Hour
钻包滑块润滑脂加注|Grease Injection for Drill Head Slider
刀库滑块润滑脂加注|Grease Injection for Tool Changer Slider
真空泵石墨片宽度检查|Width Inspection for the Graphite Flake of Vacuum Pump
真空泵高温润滑油脂加注|High Temperature Grease Injection for Vacuum Pump
循环剩余次数|Remaining Times of Cycle
循环完成次数|Completion Times of Cycle
循环次数|Cycle Times
进给速率|Feed Speed
进给倍率|Feed Ratio
转速倍率|Rotation Speed Ratio
主轴转速|Spindle Speed
坐标平面|Coordinate Plane
空闲|Idle
贴标机状态|Labeler Status
加工时间|Process Time
SNC警报|SNC Alert
SNC状态|SNC Status
钻头号|Drill NO
系统状态|System Status
剩余坐标|Remaining Coordinate
机械坐标|Mechanical Coordinate
轴号|Shaft NO
当前刀号|Current Tool NO
当前行/总行|Current Row/Total Number of Rows
坐标信息|Coordinate Info
贴标机规格|Labeler Specification
主轴|Spindle
主轴4速度|Spindle 4 Speed
主轴3速度|Spindle 3 Speed
主轴1速度|Spindle 1 Speed
主轴2速度|Spindle 2 Speed
Z手动速度|Z Manual Speed
Y手动速度|Y Manual Speed
X手动速度|X Manual Speed
状态指示灯|Status Light
排钻真空泵过载检测|Overload Detection of Drill Head Vacuum Pump
真空区操作方式|Vacuum Zone Operation Method
上料靠齐方式|Loading Alignment Method
小板侧推配置|Configuration of Small Panel Pusher
预热提醒方式|Preheat Remind Method
贴标机机型|Labeler Model
英尺选择2|Foot Selection 2
英尺选择1|Foot Selection 1
压辊配置|Roller Configuration
手轮接口|MPG Port
抓料吸真空组|Loader Vacuum Suction Group
真空泵数量|QTY of Vacuum Pumps
主轴4最大转速|Max Speed of Spindle 4
排钻启动检测|Drill Head Start Detection
定位机构配置|Positioning Unit Configuration
主轴4最大频率|Max Frequency of Spindle 4
安全门配置|Safety Door Configuration
安全门锁配置|Safety Door Lock Configuration
主轴3最大转速|Max Speed of Spindle 3
主轴3最大频率|Max Frequency of Spindle 3
主轴2最大转速|Max Speed of Spindle 2
主轴2最大频率|Max Frequency of Spindle 2
变频器品牌|Inverter Brand
上料装置|Loader
主轴1最大转速|Max Speed of Spindle 1
主轴1最大频率|Max Frequency of Spindle 1
变频器带动主轴方式|Inverter-Drive-Spindle Mode
下料装置|Unloader
连续自动启动|Continuous Auto Start
上料机配置|Loader Configuration
下料机配置|Unloader Configuration
编辑器路径|Editor Path
单位切换|Unit Switching
机型编码|Model Code
机型选择|Model Selection
刀库加速时间|Acceleration Time of Tool Magazine
刀库轴号|Shaft NO of Tool Magazine
刀库减速时间|Deceleration Time of Tool Magazine
